system:index,analysis_scale_m,asset_id,expected_month_count,hotspot_publication_eligible,hotspot_use_class,l3_grid_spacing_m,pollutant,processing_branch,product_group,publication_role,stage2d_script_version,strict_period_complete,valid_month_count_aoi,year,.geo
1_0,1113.2,projects/ee-ruslan777chernysh/assets/ARTICLE4_STAGE2C_ANNUAL_NO2_AOI_KRYVYI_RIH_2019_R01,12.0,1.0,PUBLICATION_ELIGIBLE,1113.2,NO2,NO2_DAILY_FIRST_LEVEL1,ANNUAL_SPATIAL,PUBLICATION_CANDIDATE_IF_STRICT_COMPLETE,ARTICLE4_STAGE2D_PUBLICATION_EXPORTS_ENGINE_R01,1.0,12.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,1113.2,projects/ee-ruslan777chernysh/assets/ARTICLE4_STAGE2C_ANNUAL_NO2_AOI_KRYVYI_RIH_2020_R01,12.0,1.0,PUBLICATION_ELIGIBLE,1113.2,NO2,NO2_DAILY_FIRST_LEVEL1,ANNUAL_SPATIAL,PUBLICATION_CANDIDATE_IF_STRICT_COMPLETE,ARTICLE4_STAGE2D_PUBLICATION_EXPORTS_ENGINE_R01,1.0,12.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,1113.2,projects/ee-ruslan777chernysh/assets/ARTICLE4_STAGE2C_ANNUAL_NO2_AOI_KRYVYI_RIH_2021_R01,12.0,1.0,PUBLICATION_ELIGIBLE,1113.2,NO2,NO2_DAILY_FIRST_LEVEL1,ANNUAL_SPATIAL,PUBLICATION_CANDIDATE_IF_STRICT_COMPLETE,ARTICLE4_STAGE2D_PUBLICATION_EXPORTS_ENGINE_R01,1.0,12.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,1113.2,projects/ee-ruslan777chernysh/assets/ARTICLE4_STAGE2C_ANNUAL_NO2_AOI_KRYVYI_RIH_2022_R01,12.0,1.0,PUBLICATION_ELIGIBLE,1113.2,NO2,NO2_DAILY_FIRST_LEVEL1,ANNUAL_SPATIAL,PUBLICATION_CANDIDATE_IF_STRICT_COMPLETE,ARTICLE4_STAGE2D_PUBLICATION_EXPORTS_ENGINE_R01,1.0,12.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,1113.2,projects/ee-ruslan777chernysh/assets/ARTICLE4_STAGE2C_ANNUAL_NO2_AOI_KRYVYI_RIH_2023_R01,12.0,1.0,PUBLICATION_ELIGIBLE,1113.2,NO2,NO2_DAILY_FIRST_LEVEL1,ANNUAL_SPATIAL,PUBLICATION_CANDIDATE_IF_STRICT_COMPLETE,ARTICLE4_STAGE2D_PUBLICATION_EXPORTS_ENGINE_R01,1.0,12.0,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,1113.2,projects/ee-ruslan777chernysh/assets/ARTICLE4_STAGE2C_ANNUAL_NO2_AOI_KRYVYI_RIH_2024_R01,12.0,1.0,PUBLICATION_ELIGIBLE,1113.2,NO2,NO2_DAILY_FIRST_LEVEL1,ANNUAL_SPATIAL,PUBLICATION_CANDIDATE_IF_STRICT_COMPLETE,ARTICLE4_STAGE2D_PUBLICATION_EXPORTS_ENGINE_R01,1.0,12.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7000,projects/ee-ruslan777chernysh/assets/ARTICLE4_STAGE2C_ANNUAL_SO2_AOI_KRYVYI_RIH_2019_R01,12.0,0.0,DIAGNOSTIC_ONLY,1113.2,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,ANNUAL_SPATIAL,DIAGNOSTIC_OR_SUPPLEMENT_ONLY,ARTICLE4_STAGE2D_PUBLICATION_EXPORTS_ENGINE_R01,0.0,9.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,7000,projects/ee-ruslan777chernysh/assets/ARTICLE4_STAGE2C_ANNUAL_SO2_AOI_KRYVYI_RIH_2020_R01,12.0,0.0,DIAGNOSTIC_ONLY,1113.2,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,ANNUAL_SPATIAL,DIAGNOSTIC_OR_SUPPLEMENT_ONLY,ARTICLE4_STAGE2D_PUBLICATION_EXPORTS_ENGINE_R01,0.0,9.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,7000,projects/ee-ruslan777chernysh/assets/ARTICLE4_STAGE2C_ANNUAL_SO2_AOI_KRYVYI_RIH_2021_R01,12.0,0.0,DIAGNOSTIC_ONLY,1113.2,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,ANNUAL_SPATIAL,DIAGNOSTIC_OR_SUPPLEMENT_ONLY,ARTICLE4_STAGE2D_PUBLICATION_EXPORTS_ENGINE_R01,0.0,9.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,7000,projects/ee-ruslan777chernysh/assets/ARTICLE4_STAGE2C_ANNUAL_SO2_AOI_KRYVYI_RIH_2022_R01,12.0,0.0,DIAGNOSTIC_ONLY,1113.2,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,ANNUAL_SPATIAL,DIAGNOSTIC_OR_SUPPLEMENT_ONLY,ARTICLE4_STAGE2D_PUBLICATION_EXPORTS_ENGINE_R01,0.0,9.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,7000,projects/ee-ruslan777chernysh/assets/ARTICLE4_STAGE2C_ANNUAL_SO2_AOI_KRYVYI_RIH_2023_R01,12.0,0.0,DIAGNOSTIC_ONLY,1113.2,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,ANNUAL_SPATIAL,DIAGNOSTIC_OR_SUPPLEMENT_ONLY,ARTICLE4_STAGE2D_PUBLICATION_EXPORTS_ENGINE_R01,0.0,9.0,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
